Shot,ImageNet,Caltech,Aircraft,Cars,Food,Pets,Flowers,DTD,EuroSAT,SUN,UCF,Avg.
1,71.8 ,95.4 ,34.0 ,82.9 ,86.8 ,92.8 ,90.2 ,63.7 ,82.7 ,72.8 ,80.6 ,77.6 
2,72.1 ,95.4 ,36.9 ,84.0 ,86.7 ,92.1 ,93.8 ,66.5 ,87.8 ,74.2 ,80.2 ,79.1 
4,72.8 ,96.4 ,47.3 ,86.5 ,87.1 ,94.0 ,97.4 ,69.2 ,79.9 ,75.6 ,84.3 ,81.9 
8,73.6 ,97.0 ,58.2 ,89.7 ,87.5 ,94.2 ,98.9 ,72.5 ,92.2 ,77.1 ,85.0 ,84.2
16,75.2, 97.9, 74.1 ,92.9 ,88.3 ,95.4 ,99.7 ,78.0 ,95.0 ,78.8 ,88.0 ,87.6 
